# PressureOS compact Simplified-Chinese pinyin lexicon
# Generated from Rime Luna Pinyin; see THIRD_PARTY_NOTICES.md
a	啊	吖
aa	啊啊
bingfazheng	并发症
bingfei	并非
bingfeishi	并非是
binggan	饼乾
binggou	并购
binghu	冰壶
bingjiang	并将
bingjiangqi	并将其
bingjinhang	并进行
bingjinxing	并进行
bingjiu	冰酒
bingke	并可
bingkuai	冰块
bingleng	冰冷
bingli	兵力	病例	病理	病历
bingliang	冰凉
binglie	并列
bingmei	并没
bingmeiyou	并没有
bingneng	并能
bingqi	兵器	摒弃
bingqie	并且
bingqiehai	并且还
bingqienenggou	并且能够
bingqieshi	并且是
bingqieyou	并且有
bingqiezai	并且在
bingqilin	冰淇淋
bingqing	病情
bingren	病人
bingrende	病人的
bingru	并入
bingshan	冰山
bingshi	病史	并使
bingtai	病态
bingtang	冰糖
bingtongguo	并通过
bingtuan	兵团
binguan	宾馆
bingwei	并未	并爲
bingwu	并无
bingxiang	冰箱	并向
bingxing	并行
bingxue	冰雪
bingyi	并以
bingyin	病因
bingyong	并用
bingyou	病友	并有	并由
bingyu	并与	并於
bingyuanti	病原体
bingzai	并在
bingzao	病竈
bingzheng	病症
bingzhong	兵种
bingzuizhong	并最终
binhai	滨海
binhaixinqu	滨海新区
bini	比你	比拟
binjiang	滨江
binke	宾客
bipin	比拼
bipo	逼迫
biqi	比起
biqiang	鼻腔	逼抢
biqilai	比起来
biqita	比其他
biquan	币圈
biran	必然
biranhui	必然会
biranshi	必然是
biren	鄙人	逼人
biru	比如
biruni	比如你
birushuo	比如说
biruwo	比如我
bisai	比赛	鼻塞
bise	鼻塞
bishang	比上	闭上
bishangyanjing	闭上眼睛
bisheng	必胜
bishi	笔试	鄙视	彼时
bishou	匕首
bishui	避税	比谁
bisimai	俾斯麦
bita	比他	比她
bite	比特
bitebi	比特币
biti	鼻涕
biwo	比我	逼我
bixia	笔下	陛下
bixiu	必修
bixiuke	必修课
bixu	必须	必需
bixude	必须的	必须得
bixupin	必需品
bixuxian	必须先
bixuyou	必须有
biyadi	比亚迪
biyan	鼻炎	闭眼
biyao	必要
biyaode	必要的
biyaoshi	必要时
biyaotiaojian	必要条件
biyaoxing	必要性
biye	毕业
biyehou	毕业後
biyele	毕业了
biyelunwen	毕业论文
biyesheji	毕业设计
biyesheng	毕业生
biyeshi	毕业时
biyeyihou	毕业以後
biyeyu	毕业於
biyezheng	毕业证
biyi	鄙夷
biyiqian	比以前
biyou	必有
biyu	比喻
biyun	避孕
biyuntao	避孕套
bizhe	笔者	逼着	比这
bizhege	比这个
bizhen	逼真
bizhi	壁纸	比值
bizhong	比重
bizi	鼻子
bizu	鼻祖
bizui	闭嘴
bizuo	比作
bo	博	播	拨	啵	搏	簿	勃
boai	博爱
bobao	播报
bobo	波波	伯伯
bocai	菠菜
bochang	波长
bochu	播出
boda	拨打	博大
bode	博得
bodong	波动
bodou	搏斗
boduan	波段
boduo	剥夺
bofang	播放
bofangliebiao	播放列表
bofangqi	播放器
bohai	渤海
bohao	拨号
bohe	薄荷
bohui	驳回	博会
boji	波及	搏击
bojin	铂金
bojue	伯爵
boke	博客	播客
bokeli	伯克利
bokuan	拨款
bolan	波兰	波澜
bolang	波浪
bolanhui	博览会
bolatu	柏拉图
boli	玻璃	剥离
bolin	柏林
boluo	菠萝
bomo	薄膜
boqi	勃起
boruo	薄弱
boshi	博士
boshidun	波士顿
boshihou	博士後
boshisheng	博士生
boshixuewei	博士学位
bosi	波斯
bote	波特
botong	拨通
bowen	博文
bowuguan	博物馆
boxing	波形
boxue	剥削
boyi	博弈
boyilun	博弈论
boyin	波音
boyou	博友
bozhong	播种
bozhu	博主
bozi	脖子
bozishang	脖子上
bu	不	部	补	布	步	卜	捕	簿
buai	不爱
buan	不安
buanquan	不安全
buba	不把
bubai	不败
bubaohan	不包含
bubaokuo	不包括
bubaozheng	不保证
bubei	不被
bubi	不必	不比
bubian	不变	不便
bubiande	不变的
bubianyi	不便宜
bubing	步兵
bubu	步步
bubuzhang	部部长
bucanyu	不参与
buceng	不曾
bucha	不差
buchang	补偿	不长	不畅
buchaoguo	不超过
bucheng	不成
buchenggong	不成功
buchengli	不成立
buchengren	不承认
buchengwenti	不成问题
buchi	不吃
buchong	补充
buchongshi	不重视
buchongshuoming	补充说明
buchongyao	不重要
buchou	不愁
buchu	不出
buchuan	不穿
buchulai	不出来
buchuyiwai	不出意外
bucunzai	不存在
bucuo	不错
bucuoa	不错啊
buda	不大	不打
budai	不带
budaibiao	不代表
budan	不但
budandanshi	不单单是
budang	不当
budanxin	不担心
budao	不到	不倒
budaowei	不到位
budasuan	不打算
bude	不得
